SampleID	Tissue	Genotype	n.gene	pcft.q25	pcft.q50	pcft.q75	pref.q25	pref.q50	pref.q75
bm001	Leaf	Q381	10531	0	0.017101710171017102	0.03225806451612903	0.00434455922815016	0.0136986301369863	0.023809523809523808
bm002	Leaf	PHW65	9930	0	0.018234446672445413	0.033707865168539325	0.0013156212186864458	0.013751437203536002	0.024390243902439025
bm003	Leaf	PHN11	8845	0	0.01694915254237288	0.03333333333333333	0	0.014925373134328358	0.026200873362445413
bm004	Leaf	PHJ40	9235	0	0.01834862385321101	0.033815682588053245	0.004405286343612335	0.01485148514851485	0.02564102564102564
bm005	Leaf	PHG83	1222	0	0.01694915254237288	0.034035316254161244	0.007005318625036935	0.01639344262295082	0.028443736141906872
bm006	Leaf	PHG72	8789	0	0.0136986301369863	0.030778739184178	0.006329113924050633	0.017699115044247787	0.029850746268656716
bm007	Leaf	PHG50	9545	0	0.018950437317784258	0.0343796711509716	0.003787878787878788	0.01485148514851485	0.02564102564102564
bm008	Internode	LH156	12244	0	0.01834862385321101	0.03225806451612903	0.005208333333333333	0.012364760432766615	0.02112676056338028
bm009	Seedling	LH85	13887	0	0.017241379310344827	0.03113196790239592	0	0.008572869389813415	0.016795602779891096
bm010	Leaf	AS5707	11116	0	0.017347058870732613	0.03184713375796178	0.0024984413965087283	0.012295081967213115	0.022727272727272728
bm011	Endosperm	LH85	7762	0	0.016666666666666666	0.03409090909090909	0.005788748487699959	0.021048201311359205	0.037031228216924575
bm012	Leaf	PHG47	12068	0	0.013934136870240556	0.026933507980889528	0	0.00708263149704751	0.014285714285714285
bm013	Leaf	PHG39	10237	0	0.013539651837524178	0.027131782945736434	0	0.007017543859649123	0.014861995753715499
bm014	Leaf	PHG35	11954	0	0.01508485825353181	0.028413748137108796	0	0.008678957767259767	0.01639344262295082
bm015	Endosperm	LH156	9579	0	0.017094017094017096	0.03273268398268399	0	0.014336917562724014	0.025210084033613446
bm016	Leaf	PHG29	11900	0	0.01534348503818482	0.02857142857142857	0	0.007633587786259542	0.014925373134328358
bm017	Leaf	PHB47	10303	0	0.014492753623188406	0.027777777777777776	0	0.006896551724137931	0.014084507042253521
bm018	Leaf	PH207	11306	0	0.013598563631820597	0.026921086160216597	0	0.0076045627376425855	0.015176165121935186
bm019	Leaf	Oh43	12397	0	0.013421692811005788	0.025974025974025976	0	0.00684931506849315	0.014005602240896359
bm020	Leaf	Ny821	6303	0	0	0.016193672455261123	0	0.011538461538461539	0.022727272727272728
bm021	Leaf	NKS8326	6202	0	0	0.014775726964727402	0	0.00907372530454441	0.019230769230769232
bm022	Leaf	NKH8431	9830	0	0	0	1	1	1
bm023	Leaf	NC230	12369	0	0.014492753623188406	0.027642276422764227	0	0.007272727272727273	0.014492753623188406
bm024	Leaf	MoG	12842	0	0.014925373134328358	0.028037383177570093	0	0.008053382846998698	0.015334485109183648
bm025	Leaf	Mo45	11877	0	0.013793103448275862	0.027777777777777776	0	0.008620689655172414	0.017482517482517484
bm026	Endosperm	LH145	6960	0	0.011627906976744186	0.03111111111111111	0.004914004914004914	0.017815065422009325	0.049540060389017634
bm027	Leaf	Mo17	12545	0	0.01592356687898089	0.029411764705882353	0	0.008377760853008377	0.015748031496062992
bm028	Leaf	LH93	11462	0	0.015037593984962405	0.02851472666315702	0	0.007751937984496124	0.01639344262295082
bm029	Leaf	LH85	12048	0	0.013422818791946308	0.02648480469188461	0	0.008505507708787977	0.017078535481513786
bm030	Leaf	LH156	11721	0	0.014023732470334413	0.02734957732471407	0	0.007238883143743537	0.015427769985974754
bm031	Leaf	LH145	9121	0	0.009824561403508772	0.02631578947368421	0.002036659877800407	0.010962241169305725	0.04
bm032	Leaf	LH123Ht	7998	0	0.017857142857142856	0.03491782926162069	0	0.017094017094017096	0.030303030303030304
bm033	Leaf	H99	4023	0	0	0.013333333333333334	0	0.010666666666666666	0.021449789654741203
bm034	Leaf	DKHBA1	10013	0	0.017094017094017096	0.032407407407407406	0	0.010464355788096796	0.02040816326530612
bm035	Leaf	DKFAPW	2374	0	0	0.017543859649122806	0	0.013078003787184656	0.026773777692895337
bm036	Leaf	CR1Ht	10728	0	0.018018018018018018	0.03278688524590164	0	0.011494609008431493	0.02112676056338028
bm037	Endosperm	LH123Ht	8000	0	0.01639344262295082	0.03225806451612903	0	0.012048192771084338	0.023809523809523808
bm038	Leaf	B84	6493	0	0.015765765765765764	0.029850746268656716	0	0.009828009828009828	0.018867924528301886
bm039	Leaf	B73	23	0	0	0	0.13	1	1
bm040	Leaf	AS5707	11364	0	0.01652892561983471	0.030822425315263375	0	0.010526315789473684	0.02
bm041	Internode	W64A	4872	0	0	0.018377470030662875	0	0.019801980198019802	0.03488372093023256
bm042	Internode	Q381	10757	0	0.018779342723004695	0.03389830508474576	0.00625	0.014814814814814815	0.024817518248175182
bm043	Internode	PHW65	11510	0	0.019752578721090285	0.03429239619983484	0.006134969325153374	0.013730901320872596	0.022727272727272728
bm044	Internode	PHN11	11142	0	0.01924486052524732	0.03355704697986577	0.00598204291476829	0.013605442176870748	0.022879727113136725
bm045	Internode	PHJ40	10490	0	0.0196078431372549	0.03414993178391058	0.006993298125687801	0.015267175572519083	0.025
bm046	Internode	PHG83	1329	0	0.018518518518518517	0.03333333333333333	0.006191950464396285	0.01366742596810934	0.023255813953488372
bm047	Internode	PHG72	10692	0	0.01282051282051282	0.02830188679245283	0.004513824063544867	0.013605442176870748	0.023020006057342845
bm048	Endosperm	H99	3099	0	0	0.014833149981664833	0	0.020833333333333332	0.038461538461538464
bm049	Internode	PHG50	10819	0	0.019753086419753086	0.034482758620689655	0.008928571428571428	0.017400204708290685	0.027529583831937245
bm050	Internode	PHG47	9354	0	0	0.010416666666666666	0.03333333333333333	0.9995254923734298	1
