SampleID	Tissue	Genotype	n.gene	pcft.q25	pcft.q50	pcft.q75	pref.q25	pref.q50	pref.q75
bm051	Internode	PHG39	10328	0	0.01855801317703431	0.03225806451612903	0.0051799357236313745	0.012633997400163246	0.021380847739657295
bm052	Internode	PHG35	11041	0	0.017964071856287425	0.0327613104524181	0.0049261083743842365	0.012909632571996028	0.022222222222222223
bm053	Internode	PHG29	11358	0	0.019005600411524624	0.03333333333333333	0.005245902391571683	0.012987012987012988	0.02207835507827814
bm054	Internode	PHB47	11472	0	0.014798459113747078	0.027305546792095677	0	0.008480569606597464	0.015625
bm055	Internode	PH207	11908	0	0.017191977077363897	0.030927835051546393	0.002672014260249554	0.010676156583629894	0.018867924528301886
bm056	Internode	Oh43	12909	0	0.015625	0.02894356005788712	0	0.009345794392523364	0.017391304347826087
bm057	Internode	Ny821	6312	0	0	0.016	0	0.013215859030837005	0.02666666666666667
bm058	Internode	NKS8326	6348	0	0	0.01676446327471786	0	0.01356260675338326	0.025974025974025976
bm059	Endosperm	DKFAPW	1547	0	0	0.01506484064868857	0	0.0165016501650165	0.03655576212613918
bm060	Internode	NKH8431	10617	0	0	0	1	1	1
bm061	Internode	NC230	12560	0	0.018809260746802614	0.03326505038833806	0.004960734628344246	0.01278052498838134	0.021364887737114528
bm062	Internode	MoG	12253	0	0.018867924528301886	0.03316138540899042	0.005330490405117271	0.013195513525401364	0.022222222222222223
bm063	Internode	Mo45	11707	0	0.01740139211136891	0.03225806451612903	0.005859397351827056	0.013921113689095127	0.024691358024691357
bm064	Internode	Mo17	12675	0	0.017777777777777778	0.03125	0.004381016081658766	0.011695906432748537	0.02040816326530612
bm065	Internode	LH93	11108	0	0.01967353349507075	0.03431563733137561	0.007168458781362007	0.015151515151515152	0.025004225828262342
bm066	Internode	LH85	11337	0	0.019021739130434784	0.03367003367003367	0.006339530630905212	0.014243323442136498	0.023809523809523808
bm067	Internode	LH156	12190	0	0.019147922051733303	0.032810620925375025	0.003975161914407909	0.011564551492666868	0.020127282613441076
bm068	Internode	LH145	10055	0	0.013888888888888888	0.028621034434987924	0.005988023952095809	0.013880855986119144	0.03424657534246575
bm069	Internode	LH123Ht	11062	0	0.018867924528301886	0.03333333333333333	0.004608294930875576	0.01318184676589252	0.022727272727272728
bm070	Endosperm	CR1Ht	9357	0	0.01652892561983471	0.03314917127071823	0.004545454545454545	0.015463917525773196	0.026381909547738693
bm071	Internode	H99	4592	0	0	0.015094411451195371	0	0.016963540617536188	0.029858179223404887
bm072	Internode	DKHBA1	11433	0	0.01856763925729443	0.03333333333333333	0.006711409395973154	0.014705882352941176	0.024327784891165175
bm073	Internode	DKFAPW	2514	0	0	0.015873015873015872	0	0.018867924528301886	0.035850085002011506
bm074	Internode	CR1Ht	11034	0	0.018404907975460124	0.03375527426160337	0.005649717514124294	0.013932429415818234	0.0234859942653685
bm075	Internode	B84	6260	0	0.019230769230769232	0.034027702174407905	0.005998506488190674	0.014820495341967735	0.024773812669075117
bm076	Internode	B73	26	0	0	0	0.735050196420777	1	1
bm077	Internode	AS5707	11789	0	0.018973214285714284	0.03333333333333333	0.011406844106463879	0.023809523809523808	0.04107292539815591
bm078	Endosperm	W64A	3597	0	0	0.015873015873015872	0	0.0196078431372549	0.038461538461538464
bm079	Endosperm	Q381	8881	0	0.01680672268907563	0.03225806451612903	0.006335797254487857	0.0166358595194085	0.02877697841726619
bm080	Endosperm	PHW65	9218	0	0.01565200214527389	0.03125	0	0.010309278350515464	0.020833333333333332
bm081	Endosperm	B84	4820	0	0.016940184736794907	0.03338668290912861	0	0.012578616352201259	0.024390243902439025
bm082	Endosperm	PHN11	8833	0	0.015527950310559006	0.031185031185031187	0	0.012239902080783354	0.022727272727272728
bm083	Endosperm	PHJ40	8214	0	0.016666666666666666	0.03209110356755923	0	0.014120970422067131	0.02585778432851169
bm084	Endosperm	PHG83	1242	0	0.01521877593561213	0.029179363617036356	0	0.012229110585420234	0.0217130016722408
bm085	Endosperm	PHG72	9134	0	0.011627906976744186	0.027605733786617688	0.00901126577479283	0.02040816326530612	0.03389830508474576
bm086	Endosperm	PHG50	10333	0	0.01643835616438356	0.03076923076923077	0	0.0106544901065449	0.019388954171562868
bm087	Endosperm	PHG47	9163	0	0.016483516483516484	0.032954104718810606	0	0.013605442176870748	0.02534881962893367
bm088	Endosperm	PHG39	8040	0	0.017391304347826087	0.032567492044612865	0	0.014084507042253521	0.026213202120460185
bm089	Endosperm	PHG29	8617	0	0.017964071856287425	0.03361344537815126	0.005555555555555556	0.016185258964143426	0.027777777777777776
bm090	Endosperm	PHB47	7114	0	0.017850504514073287	0.033783783783783786	0.005767151517391786	0.018633540372670808	0.031555766670544286
bm091	Endosperm	B73	12	0	0	0	0.7596153846153846	1	1
bm092	Endosperm	PH207	8680	0	0.017865542265824486	0.03343790893971544	0.005669738723445274	0.016016270755800224	0.027777777777777776
bm093	Endosperm	Oh43	9034	0	0.016679312089023773	0.03241395136184055	0	0.014222825877547874	0.025974025974025976
bm094	Endosperm	Ny821	4748	0	0	0.019230769230769232	0.008771929824561403	0.02641892928363246	0.045454545454545456
bm095	Endosperm	NKS8326	4699	0	0	0.018643399786489236	0	0.0213903743315508	0.038461538461538464
bm096	Endosperm	NKH8431	6476	0	0.01806336096203732	0.034468147282291056	0.006388983050847458	0.01694915254237288	0.029850746268656716
bm097	Endosperm	NC230	8688	0	0.017857142857142856	0.03409090909090909	0.012658227848101266	0.025252525252525252	0.04032258064516129
bm098	Endosperm	MoG	9166	0	0.017241379310344827	0.03367843490077202	0.004962789358990173	0.016425231193513093	0.027777777777777776
bm099	Endosperm	Mo45	8699	0	0.015625	0.032321782331455454	0.002366867220149463	0.015068493150684932	0.029411764705882353
bm100	Endosperm	Mo17	9260	0	0.01818181818181818	0.03356107060660196	0.004016064257028112	0.014441805356023091	0.025230279367726774
bm101	Endosperm	LH93	9137	0	0.01818181818181818	0.03333333333333333	0.0045045045045045045	0.01557632398753894	0.02631578947368421
bm102	Endosperm	PHG35	10048	0	0.015966615390409312	0.030855795299231478	0.0022020373843551757	0.011764705882352941	0.021505376344086023
bm103	Seedling	LH123Ht	12972	0	0.01891891891891892	0.03269842691420203	0.0028880911529043326	0.010309278350515464	0.018518518518518517
bm104	Root	W64A	5588	0	0	0.015670670168971793	0	0.014492753623188406	0.02857142857142857
bm105	Root	Q381	13170	0	0.01639344262295082	0.030542986425339366	0	0.008607339172773289	0.01652513458184851
bm106	Root	PHW65	13639	0	0.017241379310344827	0.031007751937984496	0	0.009067357512953367	0.01764705882352941
bm107	Root	PHN11	12787	0	0.01737242128121607	0.03150006401638819	0	0.008639308855291577	0.016666666666666666
bm108	Root	PHJ40	8667	0	0.018726591760299626	0.03561992401268779	0.00974025974025974	0.023255813953488372	0.039148535816327476
bm109	Root	PHG83	1421	0	0	0.01877133105802048	0.01238390092879257	0.9473684210526315	1
bm110	Root	PHG72	10978	0	0.013605442176870748	0.03	0.004201680672268907	0.013559322033898305	0.023995639534883723
bm111	Root	PHG50	13035	0	0.01818181818181818	0.03214808361377315	0.0038088600178010977	0.011494252873563218	0.020618556701030927
bm112	Root	PHG47	12778	0	0.018465597726811448	0.032624342818993575	0.0029465942019541143	0.011111111111111112	0.02050526061258865
bm113	Root	PHG39	8978	0	0	0.023523485955832972	0.01126284735439665	0.045454545454545456	1
bm114	Root	PHG35	12675	0	0.01775147928994083	0.0319963436928702	0.0016820869762046234	0.010238907849829351	0.018691588785046728
bm115	Root	PHG29	12833	0	0.01875	0.03287671232876712	0.0031545741324921135	0.01056338028169014	0.0196078431372549
bm116	Root	PHB47	11870	0	0.016298813424245107	0.029411764705882353	0	0.008147824994250406	0.016436748343944946
bm117	Root	PH207	12502	0	0.01458789981060203	0.02857142857142857	0	0.006439895022054726	0.014545454545454545
bm118	Root	Oh43	13310	0	0.016666666666666666	0.030255167141341976	0	0.007535395654156426	0.015873015873015872
bm119	Root	Ny821	7166	0	0	0.013888888888888888	0	0.00980392156862745	0.021969409900444384
bm120	Root	NKS8326	6644	0	0	0.014989782016348773	0	0.01282051282051282	0.02654867256637168
bm121	Root	NKH8431	9874	0	0.016095107587735632	0.02946223198503036	0	0.007499465701232985	0.015384615384615385
bm122	Root	NC230	13185	0	0.01892744479495268	0.03333333333333333	0.0025031289111389237	0.011198208286674132	0.020089285714285716
bm123	Root	MoG	13092	0	0.018570515836665608	0.03323649175945172	0.008695652173913044	0.019011063288543843	0.03597312626089604
bm124	Root	Mo45	8388	0	0	0.017706960396661017	0.022409488399720765	0.9563068181818182	1
bm125	Root	Mo44	8896	0	0	0.017857142857142856	0.0196078431372549	0.9631568741516385	1
bm126	Root	Mo17	12318	0	0.01990049751243781	0.034195593452668926	0.004617338289201794	0.013043478260869565	0.022222222222222223
bm127	Root	LH93	13069	0	0.01921537229783827	0.03333333333333333	0.002702702702702703	0.01020408163265306	0.018518518518518517
bm128	Root	LH85	12566	0	0.01948051948051948	0.03435114503816794	0.006252667899829255	0.014392472732777235	0.025
bm129	Root	LH156	12044	0	0.019417475728155338	0.03432661432537739	0.007751937984496124	0.017150374465487006	0.03072075779213968
bm130	Root	LH145	10113	0	0.01509484370825541	0.03123564538355535	0.006829268292682927	0.016296296296296295	0.0625
bm131	Root	LH123Ht	12167	0	0.018835616438356163	0.03333333333333333	0.003273331190399657	0.011210762331838564	0.02030456852791878
bm132	Root	H99	3536	0	0	0	0.03305970918082006	1	1
bm133	Root	DKHBA1	11879	0	0.0175	0.03225806451612903	0	0.009615384615384616	0.019230769230769232
bm134	Root	DKFAPW	2349	0	0	0.014084507042253521	0	0.014814814814814815	0.03550295857988166
bm135	Root	CR1Ht	11232	0	0.01818181818181818	0.03323113538342859	0.004347826086956522	0.013976247216470679	0.02631578947368421
bm136	Root	B84	5025	0	0	0.01764705882352941	0.019230769230769232	0.9365079365079365	1
bm137	Root	B73	17	0	0	0	1	1	1
bm138	Root	AS5707	11997	0	0.018633540372670808	0.03349282296650718	0.008077544426494346	0.0196078431372549	0.03717472118959108
bm139	Seedling	W64A	5413	0	0	0.019342359767891684	0.002652519893899204	0.01966626936829559	0.03662420382165605
bm140	Seedling	Q381	10989	0	0.019471488178025034	0.034782608695652174	0.006633499170812604	0.015873015873015872	0.026470588235294117
bm141	Seedling	PHW65	10919	0	0.020676691729323307	0.03571428571428571	0.008124580569215705	0.017241379310344827	0.028017241379310345
bm142	Seedling	PHN11	11200	0	0.019643917374391875	0.034482758620689655	0.005263157894736842	0.014131502016408629	0.02459016393442623
bm143	Seedling	PHJ40	10250	0	0.02072588179818588	0.035788427330752326	0.009345794392523364	0.018633540372670808	0.030534351145038167
bm144	Seedling	PHG83	1325	0	0.01818181818181818	0.034031413612565446	0.00948302233098807	0.01764705882352941	0.029644268774703556
bm145	Seedling	PHG72	10203	0	0.014285714285714285	0.031264939346856355	0.008771929824561403	0.018867924528301886	0.03143284858853721
bm146	Seedling	PHG50	11345	0	0.019230769230769232	0.034482758620689655	0.004972032318210068	0.013873159682899207	0.024111675126903553
bm147	Seedling	PHG47	10195	0	0.0199501246882793	0.03581326106042677	0.01199220533618083	0.022727272727272728	0.03571428571428571
bm148	Seedling	PHG39	10206	0	0.019230769230769232	0.034262578415055686	0.004529383500222262	0.013385073997681456	0.022988505747126436
bm149	Seedling	PHG35	11214	0	0.0196078431372549	0.03442550383104759	0.005284018928385125	0.013977457804283179	0.024193548387096774
bm150	Seedling	PHG29	10977	0	0.0200445434298441	0.03505154639175258	0.006734006734006734	0.015873015873015872	0.026143790849673203
bm151	Seedling	PHB47	9918	0	0.019906000968608284	0.03474903474903475	0.00815494676131322	0.016666666666666666	0.02689157925178116
bm152	Seedling	PH207	11343	0	0.018518518518518517	0.033781406318352136	0.004219409282700422	0.01349527665317139	0.0235692864041362
bm153	Seedling	Oh43	11369	0	0.0196078431372549	0.034482758620689655	0.006191950464396285	0.015706806282722512	0.026091081593927895
bm154	Seedling	Ny821	6575	0	0	0.019230769230769232	0.007366507488604297	0.022167487684729065	0.03922608279791238
bm155	Seedling	NKS8326	7380	0	0	0.019832838706776382	0.006097560975609756	0.019411195820093194	0.03367003367003367
bm156	Seedling	NKH8431	8618	0	0.019727575982209044	0.034482758620689655	0.006993006993006993	0.01535178714420907	0.02622000315683513
bm157	Seedling	NC230	12456	0	0.01937626934408879	0.034482758620689655	0.005261428867833184	0.013561320754716982	0.023255813953488372
bm158	Seedling	MoG	12896	0	0.018796515036639094	0.03296703296703297	4.97677504976775e-4	0.010948905109489052	0.020126204984816088
bm159	Seedling	Mo45	12664	0	0.01833250713471519	0.03314917127071823	0.005073998490876664	0.012960670386331155	0.023668639053254437
bm160	Seedling	Mo44	11815	0	0.01904761904761905	0.03411110936663195	0.0043652242953553	0.013793103448275862	0.024242424242424242
bm161	Seedling	Mo17	11494	0	0.019230769230769232	0.034163641368868396	0.004540297070554257	0.014084507042253521	0.023979969761849195
bm162	Seedling	LH93	11156	0	0.01996463947571463	0.035121962369960985	0.007246376811594203	0.01668162519932511	0.0273972602739726
bm163	Seedling	LH85	12879	0	0.019230769230769232	0.03365384615384615	0.0043406368121530654	0.012057877813504822	0.02154020582592011
bm164	Seedling	LH156	12146	0	0.018604651162790697	0.03333333333333333	0.0017625030106674746	0.011246339084235458	0.02072240738863681
bm165	Seedling	LH145	9964	0	0.014527845036319613	0.03088115261511936	0.0052062387279235775	0.014705882352941176	0.04838709677419355
bm166	Seedling	LH123Ht	11911	0	0.018461538461538463	0.03263626425113228	0.0024316190295992335	0.011235955056179775	0.020789585125099867
bm167	Seedling	H99	4826	0	0	0.016827943298531534	0	0.015151515151515152	0.029411764705882353
bm168	Seedling	DKHBA1	12191	0	0.018518518518518517	0.033253193551059254	0.0038878116403304585	0.012403100775193798	0.022159330483190028
bm169	Seedling	DKFAPW	2567	0	0	0.01545253863134658	0	0.013953488372093023	0.027952494432941358
bm170	Seedling	CR1Ht	12761	0	0.017721518987341773	0.032432432432432434	0.002531645569620253	0.010808760785057362	0.019801980198019802
bm171	Seedling	B84	7396	0	0.01681314727725953	0.030733208473179705	0	0.008792914276618363	0.017543859649122806
bm172	Seedling	B73	22	0	0	0	0.2833333333333333	0.9916666666666667	1
bm173	Seedling	AS5707	11414	0	0.02	0.035150971283783784	0.007905138339920948	0.017543859649122806	0.030303030303030304
bm174	Leaf	W64A	4759	0	0	0.018860994585404616	0.002597472692803314	0.018666666666666668	0.034696065441741315
bm175	Endosperm	B73xMo17	12192	0	0.004424778761061947	0.014492753623188406	0.6047653436844903	0.6824954680107884	0.7626825743966257
bm176	Endosperm	B73xPH207	11040	0	0.006172839506172839	0.01867368960747842	0.6110637087599545	0.6902481263803236	0.7755102040816326
bm177	Endosperm	B84xB73	5205	0	0.015625	0.031578947368421054	0.4897959183673469	0.5939189189189189	0.6617647058823529
bm178	Internode	B84xB73	7445	0	0.014791336502905442	0.028795811518324606	0.38	0.4541029207232267	0.5082706766917293
bm179	Seedling	B84xB73	8634	0	0.013309334226943685	0.026096962087385493	0.3879602174186978	0.45901639344262296	0.5122352731021073
bm180	Root	B84xB73	9237	0	0.010494752623688156	0.021814006888633754	0.38613861386138615	0.4624277456647399	0.5261538461538462
bm181	Leaf	B84xB73	8048	0	0.011267615568000676	0.023255813953488372	0.36947271379172325	0.45805791291739517	0.5239815860331799
bm182	Internode	B84xMo17	13207	0	0.015283842794759825	0.029574861367837338	0.45142543079394926	0.5225806451612903	0.599440418523542
bm183	Root	B84xMo17	16652	0	0.011323807779202541	0.022598870056497175	0.4449621855058763	0.5150684931506849	0.5902439024390244
bm184	Leaf	B84xMo17	13314	0	0.01241685388308885	0.025	0.44152996126680333	0.5185185185185185	0.6037619748958416
bm185	Endosperm	B84xMo17	12303	0	0.007122507122507123	0.017915797357299524	0.5813200900487765	0.6626865671641791	0.7368421052631579
bm186	Seedling	B84xMo17	16011	0	0.010869565217391304	0.022033898305084745	0.4535485724210723	0.515695067264574	0.5847136187521862
bm187	Endosperm	B84xPH207	11603	0	0.0079155672823219	0.019737796959743335	0.5847451252041287	0.6666666666666666	0.7391304347826086
bm188	Endosperm	CR1HtxB73	11856	0	0.011450381679389313	0.02564102564102564	0.5	0.6065573770491803	0.6761414186347461
bm189	Endosperm	CR1HtxMo17	5114	0	0.008569801202154935	0.021671418012881426	0.5416666666666666	0.6441983676550025	0.726504906557165
bm190	Endosperm	CR1HtxPH207	11850	0	0.008771929824561403	0.021804137571397143	0.553505553854919	0.6427805027590436	0.7193114829326839
bm191	Seedling	DKFAPWxB73	3113	0	0	0.012195121951219513	0.32432432432432434	0.4444444444444444	0.5298372513562387
bm192	Internode	DKFAPWxB73	2701	0	0	0.00992063492063492	0.3096774193548387	0.4393085306275836	0.5342465753424658
bm193	Root	DKFAPWxB73	3038	0	0	0.00573067467904944	0.3220338983050847	0.4579430640919514	0.5645161290322581
bm194	Leaf	DKFAPWxB73	2699	0	0	0.010810810810810811	0.3240141369047619	0.4523682810005322	0.5555555555555556
bm195	Endosperm	DKFAPWxB73	2201	0	0	0.007874015748031496	0.4782608695652174	0.6122448979591837	0.7164179104477612
bm196	Internode	DKFAPWxMo17	6350	0	0	0.013528754318228003	0.446808364372672	0.5219726175463881	0.5965476997214065
bm197	Seedling	DKFAPWxMo17	7247	0	0	0.011630981515870772	0.44666019834421544	0.5203164329377922	0.5972825469823426
bm198	Root	DKFAPWxMo17	7117	0	0	0.008863516863216405	0.4375	0.5215311004784688	0.6048780487804878
bm199	Leaf	DKFAPWxMo17	6023	0	0	0.012915811298015546	0.4333805476864967	0.5228758169934641	0.6140350877192983
bm200	Endosperm	DKFAPWxMo17	5274	0	0	0.006535947712418301	0.5747352701601954	0.6666666666666666	0.7437696070163603
bm201	Endosperm	DKFAPWxPH207	4780	0	0	0.010755318477368853	0.5757267255318409	0.6707211396204084	0.7522033824616321
bm202	Seedling	H99xB73	4936	0	0	0.012326666159657261	0.34210526315789475	0.45134132023783974	0.5200539083557951
bm203	Root	H99xB73	4469	0	0	0.005988023952095809	0.3333333333333333	0.4612546125461255	0.54375
bm204	Leaf	H99xB73	4440	0	0	0.009433962264150943	0.3291922133660331	0.4576053331009542	0.5525115069041425
bm205	Endosperm	H99xB73	3172	0	0	0.007978723404255319	0.5261958086706127	0.6286499209350793	0.7134550836482808
bm206	Internode	H99xMo17	7066	0	0	0.01361768375214882	0.4038947163947164	0.5	0.5876192672451068
bm207	Seedling	H99xMo17	7917	0	0	0.011547344110854504	0.41456992393212405	0.5	0.5789473684210527
bm208	Root	H99xMo17	7594	0	0	0.00904977375565611	0.40447725404220336	0.5	0.5811751426600614
bm209	Leaf	H99xMo17	6455	0	0	0.012422360248447204	0.40555696759241666	0.5	0.590154524422716
bm210	Endosperm	H99xMo17	5679	0	0	0.007111990763648358	0.5695720313441832	0.6602254428341385	0.7386363636363636
bm211	Endosperm	H99xPH207	5097	0	0	0.006934812760055479	0.5655737704918032	0.6557377049180327	0.7393939393939394
bm212	Seedling	LH123HtxB73	14634	0	0.0136986301369863	0.026720917240301994	0.3870967741935484	0.45687257226641215	0.5135005197505197
bm213	Root	LH123HtxB73	15648	0	0.011363636363636364	0.022509910926484394	0.3926550427433104	0.4648648648648649	0.5220996732026144
bm214	Leaf	LH123HtxB73	13063	0	0.011253657438667568	0.024	0.3761762883860881	0.46153846153846156	0.5306122448979592
bm215	Endosperm	LH123HtxB73	11185	0	0.012376237623762377	0.025661271219897353	0.5042016806722689	0.6081871345029239	0.676056338028169
bm216	Seedling	LH123HtxMo17	12513	0	0.016	0.02942300343905235	0.4375	0.5	0.5652
bm217	Endosperm	LH123HtxMo17	9214	0	0.01282051282051282	0.0273972602739726	0.5644419156936473	0.6508205542103846	0.7272727272727273
bm218	Internode	LH123HtxMo17	11838	0	0.012390477130418572	0.025	0.43762019954630316	0.5	0.565455964065394
bm219	Leaf	LH123HtxMo17	11115	0	0.012987012987012988	0.026146737625016944	0.4167045799211404	0.5	0.5842246323253903
bm220	Root	LH123HtxMo17	13313	0	0.012	0.02390438247011952	0.43288590604026844	0.5	0.5714285714285714
bm221	Endosperm	LH123HtxPH207	11188	0	0.009433962264150943	0.022223314975085236	0.5574858552154359	0.646641604010025	0.7212704047136096
bm222	Internode	LH145xB73	11784	0	0.0059820597848128446	0.02127659574468085	0.12727272727272726	0.42788842496647567	0.5
bm223	Seedling	LH145xB73	12535	0	0.006825938566552901	0.021905283471548534	0.21631435356925555	0.4312267657992565	0.5011922913016715
bm224	Leaf	LH145xB73	10799	0	0.005813953488372093	0.022857142857142857	0.10056179775280899	0.4186046511627907	0.5010259826782145
bm225	Root	LH145xB73	13221	0	0.0072992700729927005	0.0216998191681736	0.22	0.4326812428078251	0.5017301038062284
bm226	Endosperm	LH145xB73	8315	0	0.007142857142857143	0.02360251971051213	0.3420888363230173	0.5768072289156626	0.6666666666666666
bm227	Endosperm	LH145xMo17	11107	0	0.006535947712418301	0.019267031166877197	0.505907801088524	0.6403385049365303	0.7277822653024592
bm228	Endosperm	LH145xMo17	10076	0	0	0.013105946622626315	0.4790618008948546	0.6405379356043492	0.75
bm229	Endosperm	LH145xPH207	10451	0	0.005067567567567568	0.01803185724535703	0.5	0.6397163120567376	0.7291666666666666
bm230	Seedling	LH156xB73	14166	0	0.015839344115407016	0.0297029702970297	0.38334221748400854	0.45294916133197793	0.5062197739304621
bm231	Leaf	LH156xB73	13554	0	0.011385199240986717	0.023809523809523808	0.3670996724794193	0.45714285714285713	0.5276147837683369
bm232	Root	LH156xB73	16640	0	0.011477070211753246	0.022641509433962263	0.3891043733943008	0.462565080183698	0.5221693581693791
bm233	Endosperm	LH156xB73	12568	0	0.013666695062043899	0.0273224043715847	0.513821335927367	0.6122293192085995	0.6751629302318708
bm234	Endosperm	LH156xB73	12717	0	0.013377926421404682	0.02708703374777975	0.5153374233128835	0.6136363636363636	0.6759941089837997
bm235	Seedling	LH156xMo17	14805	0	0.015306122448979591	0.02843601895734597	0.4329896907216495	0.5	0.5689655172413793
